x_num_1,x_num_2,x_num_3,x_num_4,x_num_5,x_cat_1,x_cat_2,x_cat_3,x_cat_4,x_cat_5,true_label
-2.2267963428878605,-1.0148520973128279,0.21184591182372148,1.3813681087818752,-1.8795722964282453,1,1,3,0,1,1
-2.2091275273324538,-0.3545668443124942,-1.530037768847789,-1.4752414706300727,-3.4099771142853568,2,2,3,0,1,1
1.2275758165231816,-0.4425212469843569,0.8138081474395307,5.362199942681029,2.836245665926188,2,3,0,1,2,2
2.6046998897812688,-2.380078940934952,0.4067651514515429,0.7096207518832369,-2.8964744529570914,0,1,2,3,0,0
0.33217267369676345,-1.635658242346917,3.9410517869153234,0.6927939725255867,-4.406195009722688,0,1,2,3,0,0
0.5569642042988359,0.7671605976105134,-0.7028060792259669,2.3893369450999034,-0.4656876413930686,2,3,0,2,2,2
-0.4868600276029629,-2.0303237594453964,1.7188240086908713,0.15432479996099824,-3.7636315817524095,0,1,2,3,3,0
1.1098411751663206,0.1909754846567826,3.6958561102234277,1.9835330454335653,-5.589452193479022,0,1,2,3,0,0
2.1988190620628867,2.256013456056228,2.6750796511776254,3.2216009130429266,-1.6848913996708461,2,3,0,1,2,2
-0.3911066076670884,-1.0005616565509534,-0.913800990107715,2.115942347346953,-0.7029422505842529,1,2,3,0,1,1
-3.1472605739547075,-0.8638871247017035,-0.8574285440389486,-0.0356154612186814,-0.7643584442098672,1,2,3,0,1,1
2.5999273681073416,-1.3909473404173684,1.5681430498364397,3.251557965542368,-2.5570357894087667,0,1,2,3,0,0
2.9652637070621024,-2.8434905980116834,2.3273812330632766,0.5693452160251116,-3.449091695682098,0,1,2,3,0,0
2.621449933783528,2.351273251142162,-0.2785641503474897,2.102457016255949,-1.4549143723904665,2,3,0,2,2,2
1.8037910927570187,1.4388751089975316,1.3393881803009973,2.172144103040103,1.1234673142918774,2,3,0,1,2,2
1.6490879061472155,-2.7915382345076596,1.0926286159184886,3.009525295973794,-4.652019666651265,0,1,2,3,0,0
-4.798804811206344,0.27823116987665397,-0.726103405270353,-2.6292125010319767,-3.2307594103093513,1,2,3,0,1,1
2.4173619948257223,3.48161288910888,-1.125426964039542,1.7103048685862505,-0.22550691028966052,2,3,0,1,2,2
1.0623282596989911,-4.191635589583497,1.8482475364957036,4.7556230834596445,-3.888548427879555,0,3,2,3,0,0
-3.1250061837797034,2.390959857521625,-3.0892846782217482,0.2919966337238831,-3.7838618168217275,1,2,3,0,1,1
1.283101071641107,-2.3146775428025057,1.1631480426799898,0.6161423657118894,-4.791032562377947,0,1,2,3,0,0
0.7397072949907173,1.5492099936771375,0.2162237715974873,4.955575330517964,0.5773306182408322,2,3,0,1,2,2
0.33148764315914936,3.9422111090702963,0.05669393159688413,2.0412107705781413,0.8399832377537104,2,3,0,1,2,2
0.7084692981408531,-1.0512837508158301,2.3693070817971935,3.2904823818362257,-5.958664366000081,0,1,2,3,0,0
2.616016309776324,1.665058979233669,2.463598373790472,1.7297786353050013,1.1739425264419057,2,3,0,1,2,2
0.8379697066533971,3.538654411522448,-0.6227065842794286,5.233998763173602,1.8783582302530952,2,3,0,1,2,2
3.7101419606135586,1.8016456306522204,-0.9026880433150519,2.2274065109016186,1.4097937123612303,3,3,0,1,2,2
2.276426642217962,2.4488672343037257,1.1558818878674315,1.8512412174847317,0.7545851149386364,2,3,0,1,2,2
1.301766709001936,-1.9239845773815296,2.013629313944797,2.7473440373667524,-3.944456535300348,0,1,2,2,0,0
-4.419209241293883,0.10796186733101704,-1.6207301724617311,1.7604322084510344,-1.2332614004460734,1,2,3,0,1,1
-3.153855230276479,3.6405240783569255,0.2108241759839138,1.2173954332752606,-1.1198855490699233,1,2,1,0,1,1
3.602190354339691,3.0541188746961208,0.7004459490002495,3.931157950196334,2.0692816209144063,3,3,0,1,2,2
3.2326051302011116,3.37439217559145,-0.6765362358135698,3.2359466365538645,0.8501247860750305,2,3,0,1,2,2
0.4183251595772754,-2.8278688748279475,0.5400623392099253,3.046885161949808,-4.248179121291288,0,1,2,3,0,0
-3.5394393567380757,-1.8172847211579513,-1.7544945912010015,0.6194271806813111,-1.6579988912989403,1,2,3,0,1,1
2.265866945450072,0.7671752488328367,-0.33124954739026163,2.503577950126527,0.2977434908055471,2,3,0,1,2,2
-1.8633373511835345,1.5748637091756925,-1.3544447799224426,-0.24213377456310547,-1.232891154544202,1,2,3,0,1,1
1.2761235712033117,1.6482168115796312,-1.4480069325170377,3.30546772306661,1.8765936512084407,2,3,0,1,2,2
3.1293976976969624,-0.9578573006624869,1.6968418032401549,4.5806195110055805,1.2045739001820799,2,3,0,1,2,2
3.3317698204306314,-3.0876582852627776,1.2614367146302983,1.3748845170805817,-4.138412664543996,0,1,3,3,0,0
-1.4800941945331638,0.09151500043731958,-3.2563200500693075,-0.26830625336793373,-1.158526966938148,1,2,1,0,1,1
-4.777065467368591,-2.980010215638477,-1.0715571255984506,-0.268063846477982,-2.641965070672227,1,2,3,0,1,1
-2.982853409090836,2.2396577455017432,-0.2836455717742834,0.8292319458862476,-0.7294856880497445,1,2,3,0,1,1
1.6598417928206095,3.756324658316749,-1.1252693123626094,3.8618164420180294,0.5870964417713214,2,3,0,1,2,2
-2.635405384777636,-2.3437681024294497,0.9733181962705217,0.16136575167119072,-0.9330009950875633,1,2,3,0,1,1
1.723393379864354,3.6899014877232146,0.6163602594879655,1.8114756860050607,0.3464819870152853,2,3,0,1,2,2
1.7870813536652672,2.5201084752894074,0.5496161605182854,4.043162402623051,0.510758710192092,2,3,0,1,2,2
-3.3162025028241846,1.1674400233956064,-0.8803291867366289,-1.4102511217421116,-2.3022930239244035,1,2,3,0,1,1
1.3212058940228513,-3.051414790141396,1.2676016530022527,1.8590038229639037,-5.182343185291928,0,1,2,3,0,0
