x_num_1,x_num_2,x_cat_1,x_cat_2,x_cat_3,true_label
-7.673376566703801,-4.38496489557309,1,0,1,2
3.062190711650246,2.459606748730391,2,1,0,1
-6.032799512347662,-5.307164029757152,2,0,2,2
-7.04789259098554,-4.829875423990878,2,2,1,2
-7.191175374140746,-5.349705924893691,2,2,1,2
1.41223728991686,1.6892754295735637,1,0,0,1
0.023028673428685753,-3.6729639441764004,1,1,2,0
-8.95334475180364,-7.11684844067454,2,0,0,2
1.2848990165789416,-3.0326952179939495,0,1,0,0
-9.22098284721222,-4.764905318066168,1,0,1,2
2.6590186323614495,2.2854010487191236,1,0,2,1
-7.684914893487954,-5.78016724664601,2,2,1,2
-7.751967435957813,-5.48256853299551,2,0,1,2
-7.806060607791692,-4.800681850568005,2,0,2,2
-8.566464212642998,-6.067924046024842,2,1,1,2
1.5872249317183837,-3.313352439118578,2,2,0,0
2.6903602920108822,-6.726594865893279,1,1,1,0
-5.870347269427159,-3.2482334266662454,2,0,1,2
-7.494520672706178,-4.61917114141367,2,0,1,2
-7.52556484010354,-5.19473280558398,2,0,1,2
2.5663973102818667,3.2831556946528755,2,2,0,1
-7.4082068801845224,-3.647279825645699,2,0,1,2
3.805389802604431,5.483028696730839,1,2,1,1
3.3605159198881864,-4.5663514413465975,1,1,2,0
-7.936369411146518,-6.452923906310142,2,1,1,2
1.008744412171673,2.4657865374900947,1,2,0,1
3.5505436020899555,3.5745878746364035,1,2,0,1
2.0468564958147843,-4.45650737849669,0,1,2,0
-0.3824096181011283,-4.954072714987406,0,1,2,0
2.4679045448522743,2.6925064542751658,0,2,0,1
0.7470922853793897,-3.7005506532453705,0,1,2,0
4.669692394345349,2.658518167782848,1,2,0,1
-0.05681800432019646,-5.293223638965463,0,2,2,0
2.3475215065382735,4.190149306259773,2,0,0,1
-8.758932571746167,-4.234823899231872,2,0,1,2
3.249470684334772,3.5830322401151005,0,1,0,1
-7.150895871334119,-5.485418117534985,2,0,2,2
-9.126681887907024,-5.694912158148319,0,0,1,2
4.9528173433521285,5.839239394618609,1,2,0,1
-8.480158060296715,-6.071035986924816,1,0,1,2
2.1952058789184563,2.4796242153043337,0,2,1,1
2.664479621157323,3.620255651157334,1,2,2,1
0.7494659788150015,-4.147442306234295,2,0,2,0
3.5890639500286214,4.081659129356084,0,2,0,1
0.12208274056308577,-2.3230228966406683,0,0,2,0
2.94621853318191,-5.69379782987812,1,0,2,0
4.799365949870469,4.656472194078265,0,0,0,1
2.920217013540708,2.0566066495493383,1,1,1,1
3.716201265856488,5.75955539631285,1,2,2,1
0.8844121466618488,-2.859891830263024,2,2,1,0
-9.912094096392789,-5.573156279713734,0,0,0,2
3.215599210709512,-1.2460739589546526,1,1,2,0
3.052946841777991,2.9967235881351426,1,2,1,1
3.4496184999485395,3.820533196500302,1,1,0,1
3.3481154310460237,-5.447359006236013,2,2,2,0
5.05448976517172,3.9342191980019154,2,0,2,1
-6.879782997427911,-5.174106153264017,2,0,1,2
-8.304501832012246,-4.723556914903535,2,0,1,2
-8.029572203843445,-6.485734472419501,2,0,1,2
4.116397227803206,4.145635978747326,1,2,0,1
1.8842534279905117,-4.258421909471406,0,2,2,0
2.0573575227540704,-5.062863603049008,0,1,0,0
2.630088086640134,2.8691282439799926,1,2,0,1
-7.693745029003127,-5.617051190275942,1,0,1,2
-7.531495491183216,-5.770201054232156,2,1,1,2
2.175099736308934,2.97984253160341,1,0,0,1
1.5536775238107814,3.6942786095804507,1,2,0,1
-0.10383129333667696,-5.157183252563464,2,1,2,0
-7.913874936245529,-4.855997864422929,2,0,2,2
-8.123247351626244,-4.991486832638747,2,0,1,2
-0.9284207107209295,-4.32260234550689,0,1,2,0
-7.009208501699718,-5.028354084422874,2,0,1,2
-9.984350819104819,-5.172658100651477,2,1,1,2
2.098266293880554,-3.382144489533034,2,1,2,0
1.3093581006455997,-3.931708094823077,0,1,2,0
2.3741803551244214,-3.5511749527375422,0,1,2,0
-8.93192151950706,-5.588524539239168,1,0,0,2
4.337990883238,5.010208850624287,1,1,0,1
2.4630334656080857,4.9100715262984185,1,1,1,1
2.8231226805348664,-4.617635855918808,0,1,2,0
0.9806945750430602,-4.426323914970937,2,1,2,0
-8.604352451217196,-4.575860112841966,2,0,1,2
3.70865442412488,4.424924835950339,1,2,0,1
-0.46400145259807934,-4.494821454947757,0,2,0,0
-9.181456410135713,-3.7367034609591387,0,0,0,2
3.7926109049159096,4.106904091800907,1,0,0,1
-8.43220683834072,-4.897265193145833,2,0,1,2
